song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream
Unnakkenna Melae,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:43,Tamil,01-07-2007,0.66,0.91,0.972,0.394,-8.131,0.0242,167.892,0,0,0.0814,4,70,9118198
Kaatril Enthan,S. Janaki,/artist/s-janaki,04:30,Tamil,06-09-2014,0.76,0.92,0.247,0.72,-9.516,0.0035,143.977,1,1,0.04,4,70,1889888
Nilaave Vaa,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:38,Tamil,12-07-2017,0.95,0.676,0.901,0.302,-10.827,0.029,141.888,0,11,0.097,4,30,7177411
Atho Andha Paravaipola,T.M. Soundararajan,/artist/tm-soundararajan,05:05,Tamil,10-12-2020,0.5,0.31,0.477,0.87,-10.401,0.0249,166.019,0,5,0.069,4,78,859327
Kovil Mani Osai,Malaysia Vasudevan|S. Janaki,/artist/malaysia-vasudevan|/artist/s-janaki,04:43,Tamil,01-04-2004,0.79,0.63,0.753,0.343,-11.488,0.01,148.028,0,0,0.0201,4,34,7933699
Raman Aandaalum,S. P. Balasubrahmanyam|L.R. Anjali,/artist/s-p-balasubrahamanyam|/artist/lr-anjali,05:49,Tamil,10-02-2005,0.35,0.45,0.429,0.98,-11.537,0.08,153.967,1,9,0.09,4,34,4818147
Kaatru Vaanga,T.M. Soundararajan,/artist/tm-soundararajan,03:43,Tamil,08-10-2006,0.31,0.787,0.425,0.67,-12.023,0.0361,149.964,1,8,0.01,4,67,5947679
Vethalaya Potendi,M. S. Viswanathan,/artist/m-s-viswanathan-2,04:48,Tamil,07-11-2003,0.04,0.02,0.58,0.29,-12.075,0.09,129.829,1,7,0.0943,4,38,3193372
Kannan Oru,P. Susheela|K J Yesudas,/artist/p-suseela-2|/artist/k-j-yesudas,04:43,Tamil,07-02-2004,0.31,0.207,0.155,0.286,-6.187,0.041,163.962,1,3,0.05,4,50,2219941
Eatho Ninaivukal,Leslie,/artist/leslie,04:43,Tamil,11-04-2007,0.74,0.77,0.914,0.89,-6.858,0.0491,154.964,1,2,0.0127,4,76,10670484
Chinna Chiru Vayathil,K J Yesudas|S. P. Sailaja,/artist/k-j-yesudas|/artist/s-p-sailaja-2,04:21,Tamil,01-03-2014,0.57,0.786,0.417,0.276,-3.766,0,132.003,1,8,0.038,4,78,9954299
Puthiya Vaanam,T.M. Soundararajan,/artist/tm-soundararajan,05:59,Tamil,12-01-2010,0.05,0.55,0.112,0.28,-13.533,0.06,159.784,1,9,0.0675,4,48,4328882
Avalukkenna,L.R. Eswari|T.M. Soundararajan,/artist/lr-eswari-2|/artist/tm-soundararajan,05:17,Tamil,04-04-2007,0.61,0.094,0.27,0.599,-4.094,0.0756,124.057,0,6,0.0844,4,26,602704
Kaathal Vaibhogame,S. Janaki|Malaysia Vasudevan,/artist/s-janaki|/artist/malaysia-vasudevan,03:44,Tamil,08-05-2018,0.61,0.48,0.913,0.26,-11.181,0.042,129.975,0,5,0.1,4,71,1051155
Andhi Mazhai Pozhikaruthu,S. Janaki|S. P. Balasubrahmanyam,/artist/s-janaki|/artist/s-p-balasubrahamanyam,04:35,Tamil,06-12-2014,0.88,0.049,0.396,0.371,-4.31,0.08,128,1,6,0.04,4,44,3232660
Vaan Meghangale,S. Janaki|Malaysia Vasudevan,/artist/s-janaki|/artist/malaysia-vasudevan,04:57,Tamil,08-01-2013,0.7,0.6,0.214,0.96,-5.454,0.09,125.089,1,7,0.03,4,94,2876776
Entha Poovilum,S. Janaki,/artist/s-janaki,04:14,Tamil,10-11-2012,0.6,0.76,0.035,0.876,-10.986,0.0043,154.01,0,6,0.0771,4,32,5164028
Senthoora Poove,Leslie,/artist/leslie,04:38,Tamil,02-08-2007,0.54,0.72,0.455,0.3,-4.257,0.0566,139.059,0,11,0.003,4,25,9789667
Medhuva Medhuva,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:20,Tamil,08-08-2004,0.67,0.349,0.375,0.542,-5.486,0.01,164.064,1,2,0.0086,4,84,9672244
Appane Pillaiyarappane,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:38,Tamil,12-04-2005,0.4,0.34,0.307,0.47,-5.367,0.088,180.051,1,1,0.0867,4,83,8514784
Ennathaan Nadakkum,T.M. Soundararajan,/artist/tm-soundararajan,04:12,Tamil,12-12-2018,0.6,0.696,0.143,0.832,-6.819,0.06,153.04,1,1,0.0453,4,30,3411125
Ganapathiye Varuvaai,Sirkazhi Govindarajan,/artist/sirkazhi-govindarajan,03:32,Tamil,03-12-2018,0.62,0.34,0.574,0.91,-7.037,0.036,134.03,1,1,0.0659,4,82,5351105
Kaalangalil Aval Vasantham,P.B. Sreenivas,/artist/pb-sreenivas,03:33,Tamil,10-05-2010,0.13,0.878,0.947,0.012,-2.254,0.0041,134.974,1,1,0.01,4,82,10540418
Malarndhum Malaradha,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,05:32,Tamil,09-10-2009,0.22,0.49,0.421,0.15,-7.138,0.02,195.908,0,1,0.085,4,72,630048
Sorgam Madhuvile,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:34,Tamil,02-02-2014,0.06,0.952,0.944,0.664,-6.604,0.0282,160.043,0,10,0.01,4,94,7086884
Selai Kattum,S. P. Balasubrahmanyam|K. S. Chithra,/artist/s-p-balasubrahamanyam|/artist/chitra,04:50,Tamil,02-04-2006,0.82,0.24,0.404,0.41,-5.341,0.03,169.94,1,2,0.09,4,77,7706754
Ellorum Nalam Vaazha,T.M. Soundararajan,/artist/tm-soundararajan,03:32,Tamil,11-09-2015,0.36,0.464,0.338,0.52,-5.674,0.0528,104.967,1,8,0.01,4,77,8417929
Aattukkutti Muttai,Malaysia Vasudevan|S. Janaki,/artist/malaysia-vasudevan|/artist/s-janaki,04:02,Tamil,09-04-2009,0.64,0.65,0.613,0.26,-7.878,0.05,169.036,0,9,0.06,4,56,1546184
Oru Sandhana Kaattukkulle,S. Janaki|Ilaiyaraaja,/artist/s-janaki|/artist/iiaiyaraaja,05:26,Tamil,08-06-2022,0.53,0.672,0.653,0.964,-11.532,0.0382,120.098,0,1,0.0864,4,39,4934377
Yennama Kannu Sowkiyama,Malaysia Vasudevan|S. P. Balasubrahmanyam,/artist/malaysia-vasudevan|/artist/s-p-balasubrahamanyam,04:37,Tamil,01-06-2012,0.18,0.83,0.952,0.89,-4.579,0.0076,206,1,7,0.08,4,79,6548970
Chinna Kannan,S. Janaki,/artist/s-janaki,04:34,Tamil,02-05-2001,0.19,0.091,0.252,0.608,-5.453,0.033,174.04,1,8,0.047,4,93,7689812
Bharathi Kannamma,Vani Jairam|S. P. Balasubrahmanyam,/artist/vani-jayaram|/artist/s-p-balasubrahamanyam,05:47,Tamil,04-02-2001,0.45,0.82,0.575,0.55,-8.061,0.0477,120.055,1,11,0.092,4,37,9385198
Unnai Arindhal,T.M. Soundararajan,/artist/tm-soundararajan,05:13,Tamil,11-01-2011,0.18,0.315,0.974,0.137,-9.138,0.0331,122.024,0,11,0.02,4,49,10003073
Thamthananam,Jency|B.Vasantha,/artist/jency|/artist/bvasantha,04:32,Tamil,01-09-2005,0.21,0.48,0.014,0.58,-7.436,0.0199,107.674,1,11,0.061,4,63,2889592
Mere Pyari,T.l. Maharajan,/artist/tl-maharajan,04:15,Tamil,05-02-2011,0.91,0.735,0.274,0.494,-6.501,0.01,151.996,1,2,0.073,4,50,9659646
My Name Is Billa,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:26,Tamil,05-10-2022,0.37,0.77,0.543,0.46,-10.289,0.034,179.954,0,10,0.09,4,50,5079953
Kumari Pennin Ullatthile,P. Susheela|T.M. Soundararajan,/artist/p-suseela-2|/artist/tm-soundararajan,05:48,Tamil,04-02-2021,0.54,0.841,0.031,0.929,-11.161,0.055,199.932,1,1,0.05,4,65,9395977
Poo Maalaiyil,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,03:43,Tamil,02-05-2011,0.14,0.69,0.047,0.57,-12.201,0.0955,105.997,1,7,0.0269,4,55,3763691
Pon Malai,Leslie,/artist/leslie,04:09,Tamil,01-04-2010,0.15,0.213,0.823,0.959,-6.822,0.024,108.019,1,1,0.0469,4,34,44460
Vinayagane Vinai Theerpavane,Sirkazhi Govindarajan,/artist/sirkazhi-govindarajan,03:02,Tamil,06-05-2003,0.29,0.91,0.607,0.8,-3.147,0.0046,177.786,1,7,0.053,4,31,4065034
Ullathil Nalla Ullam,Sirkazhi Govindarajan,/artist/sirkazhi-govindarajan,03:54,Tamil,12-04-2006,0.45,0.243,0.13,0.737,-5.167,0.09,140.083,1,8,0.03,4,38,9113294
Aagayam Thaane,S. P. Balasubrahmanyam|Vani Jairam,/artist/s-p-balasubrahamanyam|/artist/vani-jayaram,04:48,Tamil,01-02-2008,0.54,0.51,0.878,0.35,-5.176,0.0671,179.965,0,0,0.0221,4,85,1134024
Kanmaniyae Kadhal Enbathu,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:28,Tamil,07-10-2017,0.15,0.443,0.072,0.868,-12.752,0.063,140.022,1,1,0.054,4,42,3546307
Naane Naana.,Vani Jairam,/artist/vani-jayaram,04:30,Tamil,05-05-2020,0.04,0.49,0.255,0.3,-7.829,0.0277,164.02,0,6,0.047,4,31,1143200
Mazhai Varuvathu,S. Janaki,/artist/s-janaki,04:43,Tamil,11-11-2003,0.45,0.983,0.778,0.07,-12.897,0.0396,204.058,1,9,0.01,4,57,2614709
Kannukkul Nooru Nilava,S. P. Balasubrahmanyam|K. S. Chithra,/artist/s-p-balasubrahamanyam|/artist/chitra,04:25,Tamil,01-03-2010,0.11,0.04,0.027,0.73,-3.971,0.0605,133.954,0,2,0.076,4,60,7457854
Paruvame,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:16,Tamil,01-01-2016,0.46,0.939,0.539,0.174,-13.6,0.083,189.96,0,10,0.069,4,33,2861925
Oru Jeevanthan -Sad,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:56,Tamil,06-04-2010,0.55,0.06,0.892,0.73,-3.23,0.046,159.95,1,0,0.039,4,92,5862039
Vetri Vetri,S. P. Balasubrahmanyam|K. S. Chithra,/artist/s-p-balasubrahamanyam|/artist/chitra,05:03,Tamil,12-07-2022,0.97,0.234,0.731,0.281,-9.296,0.09,119.919,1,8,0.056,4,57,9661977
Sambo Siva Sambo,M. S. Viswanathan,/artist/m-s-viswanathan-2,04:48,Tamil,04-03-2010,0.56,0.12,0.959,0.61,-5.683,0.0034,142.048,1,11,0.084,4,26,3814768
Poopole Un Punnagaiyil,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,03:32,Tamil,06-07-2013,0.74,0.468,0.977,0.261,-4.163,0.0249,120.009,1,8,0.0435,4,53,3850510
Solam Vedhaikkayile,Ilaiyaraaja|Ain't No Love,/artist/iiaiyaraaja|/artist/aint-no-love,02:49,Tamil,03-10-2014,0.51,0.87,0.623,0.27,-4.548,0.081,192.122,1,7,0.072,4,69,2697906
Ucchi Vagundhedutthu,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:51,Tamil,05-03-2021,0.68,0.572,0.965,0.388,-11.187,0.07,132.082,0,6,0.071,4,51,8642496
Kannan Oru,P. Susheela|K J Yesudas,/artist/p-suseela-2|/artist/k-j-yesudas,04:43,Tamil,01-01-2017,0.4,0.25,0.532,0.43,-6.504,0,169.912,1,0,0.064,4,29,2455797
Maamen Orunaal,S. P. Balasubrahmanyam|S. P. Sailaja,/artist/s-p-balasubrahamanyam|/artist/s-p-sailaja-2,04:43,Tamil,01-03-2021,0.95,0.522,0.203,0.115,-7.764,0.02,131.965,0,9,0.02,4,83,8276472
En Kannukoru Nilava,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:30,Tamil,12-06-2016,0.97,0.34,0.07,0.29,-4.663,0.0762,186.026,1,0,0.067,4,55,6361527
Mayakkamaa Kalakkama,P.B. Sreenivas,/artist/pb-sreenivas,02:41,Tamil,04-09-2019,0.02,0.451,0.66,0.781,-10.349,0.016,139.992,1,10,0.022,4,63,8274437
Aagayam Thaane,S. P. Balasubrahmanyam|Vani Jairam,/artist/s-p-balasubrahamanyam|/artist/vani-jayaram,04:48,Tamil,02-03-2008,0.07,0.35,0.847,0.07,-5.867,0.099,139.054,0,7,0.02,4,34,11353306
Naan Paartthathille,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,04:04,Tamil,09-09-2022,0.2,0.253,0.846,0.361,-4.345,0.029,149.95,1,7,0.0051,4,48,7770413
Idhayam Poguthe,Jency,/artist/jency,04:46,Tamil,03-05-2018,0.12,0.68,0.679,0.24,-13.734,0.091,140.036,1,8,0.06,4,97,4949459
Roja Malarae Rajakumari,P.B. Sreenivas|P. Susheela,/artist/pb-sreenivas|/artist/p-suseela-2,03:29,Tamil,04-10-2009,0.75,0.596,0.949,0.306,-11.304,0.0084,175.023,1,8,0.04,4,95,10743711
Thenpandi Cheemayile,Ilaiyaraaja|Kamal Haasan,/artist/iiaiyaraaja|/artist/kamal-haasan,04:32,Tamil,07-10-2022,0.81,0.82,0.525,0.34,-13.212,0.088,180.036,1,4,0.06,4,42,4098734
Samayal Paadame,S. P. Balasubrahmanyam|S. P. Sailaja,/artist/s-p-balasubrahamanyam|/artist/s-p-sailaja-2,05:50,Tamil,07-02-2009,0.32,0.426,0.274,0.177,-3.442,0.037,141.991,1,0,0.068,4,29,8884916
Inbamae Undhanper,P. Susheela|T.M. Soundararajan,/artist/p-suseela-2|/artist/tm-soundararajan,05:01,Tamil,12-04-2007,0.68,0.33,0.118,0.33,-9.141,0.0048,181.13,1,11,0.061,4,34,315338
Aalavanthan,Shankar Mahadevan,/artist/shankar-mahadevan,03:20,Tamil,12-09-2019,0.65,0.313,0.144,0.134,-12.018,0.096,198.088,0,9,0.0203,4,90,1807466
Adhisaya Raagam,K J Yesudas,/artist/k-j-yesudas,04:02,Tamil,03-08-2012,0.71,0.53,0.639,0.5,-4.458,0.059,206.004,0,1,0.011,4,97,7461048
Ooru Sanam Thoongidichu,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:38,Tamil,03-08-2005,0.31,0.12,0.841,0.567,-13.89,0.0982,131.982,1,8,0.078,4,50,6111760
Naan Pesa Ninaippathellaam,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,03:12,Tamil,07-06-2008,0.59,0.33,0.582,0.93,-13.117,0.056,120.041,1,9,0.0512,4,84,716555
Ponmaalai Pozhuthu,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:24,Tamil,09-08-2008,0.21,0.307,0.845,0.777,-2.64,0.083,149.982,0,5,0.046,4,72,10157642
Kashmir Beautiful,T.M. Soundararajan,/artist/tm-soundararajan,07:27,Tamil,08-12-2006,0.94,0.32,0.28,0.47,-2.087,0.032,121.793,1,4,0.0702,4,89,8818916
Vaanathe Paarthein,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,05:15,Tamil,11-12-2011,0.69,0.726,0.125,0.514,-3.141,0.0389,179.951,0,0,0.003,4,89,4954945
Mookuthi Poomele (Happy),S. Janaki|K J Yesudas,/artist/s-janaki|/artist/k-j-yesudas,04:52,Tamil,03-03-2002,0.1,0.47,0.765,0.8,-7.028,0.01,130.071,1,0,0.048,4,51,1832119
Naalai Intha,P Suhseela,/artist/p-suhseela,04:59,Tamil,07-12-2014,0.01,0.026,0.719,0.246,-4.424,0.09,174.997,1,8,0.08,4,36,8184665
